JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458840.60093,13.985,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.137,Z,18.521,18.197,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.60470,13.958,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.125,Z,18.508,18.192,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.60846,13.990,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.113,Z,18.508,18.186,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.61222,14.005,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.103,Z,18.497,18.189,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.61598,13.965,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.093,Z,18.517,18.193,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.61975,13.981,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.084,Z,18.508,18.188,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.62352,14.004,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.075,Z,18.497,18.193,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.62730,13.977,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.067,Z,18.510,18.195,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.63110,13.994,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.060,Z,18.497,18.181,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.63488,13.980,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.053,Z,18.506,18.186,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
